,Date,ScallopCount,SH,alloDry,alloWet
230,8/26/20,21,53,1.693,9.133
231,8/26/20,22,51,1.583,8.032
232,8/26/20,23,42,1.108,6.459
233,8/26/20,24,49,1.285,6.756
234,8/26/20,25,47,1.177,6.089
235,8/26/20,26,45,0.871,5.222
236,8/26/20,27,46,1.11,6.145
237,8/26/20,28,45,0.898,5.383
238,8/26/20,29,52,1.556,8.003
239,8/26/20,30,37,0.539,3.206
240,9/28/20,1,35,0.38,1.1753
241,9/28/20,2,30,0.247,0.636
242,9/28/20,3,25,0.138,0.804
243,9/28/20,4,33,0.327,1.05
244,9/28/20,5,27,0.179,1.093
245,9/28/20,6,26,0.152,0.906
246,9/28/20,7,37,0.502,0.847
247,9/28/20,8,35,0.393,2.1
248,9/28/20,9,33,0.367,1.302
249,9/28/20,10,30,0.219,1.182
250,9/28/20,11,34,0.332,1.865
251,9/28/20,12,32,0.237,1.414
252,9/28/20,13,34,0.394,2.405
253,9/28/20,14,29,0.245,1.528
254,9/28/20,15,33,0.297,1.794
255,9/28/20,16,57,1.833,9.888
256,9/28/20,17,55,2.075,11.169
257,9/28/20,18,55,1.95,10.099
258,9/28/20,19,52,1.599,9.334
259,9/28/20,20,53,1.743,9.877
260,9/28/20,21,55,1.666,8.913
261,9/28/20,22,52,1.735,9.246
262,9/28/20,23,51,1.313,7.365
263,9/28/20,24,57,2.031,9.947
264,9/28/20,25,55,1.644,9.006
265,9/28/20,26,51,1.497,7.849
266,9/28/20,27,56,2.091,11.568
267,9/28/20,28,55,2.079,10.796
268,9/28/20,29,47,1.323,6.393
269,9/28/20,30,54,1.737,9.018
